FICE_CODE,UNIVERSITY_NAME
001739,NORTHWESTERN UNIVERSITY
001741,OLIVET NAZARENE UNIV
001744,PRINCIPIA COLLEGE
001745,QUINCY UNIVERSITY
001746,ROBERT MORRIS COLLEGE
001747,ROCK VALLEY COLLEGE
001748,ROCKFORD COLLEGE
001749,ROOSEVELT UNIVERSITY
001750,DOMINCAN UNIVERSITY
001752,SAUK VALLEY COMM COLLEGE
001753,SCHOOL OF ART INSTITUTE OF CHICAGO
001754,SEABURY-WESTERN THEOLOGICAL SEMINARY
001756,SHIMER COLLEGE
001757,SOUTHEASTERN ILLINOIS COLLEGE
001758,SOUTHERN IL U -CARBONDALE
001759,SOUTHERN IL U -EDWARDVILL
001761,SPRINGFIELD COLLEGE
001767,BENEDICTINE UNIVERSITY
001768,ST XAVIER UNIVERSITY
001769,SOUTH SUBURBAN COLLEGE
001771,TRINITY CHRISTIAN COLLEGE
001772,TRINITY COLLEGE
001773,TRITON COLLEGE
001774,UNIVERSITY OF CHICAGO
001775,U OF IL-URBANA-CHAMPAIGN
001776,U OF IL-CHICAGO
001778,VANDERCOOK COLLEGE OF MUSIC
001780,WESTERN IL UNIVERSITY
001781,WHEATON COLLEGE
001784,ANCILLA COLLEGE
001785,ANDERSON UNIVERSITY
001786,BALL STATE UNIVERSITY
001787,BETHEL COLLEGE
001788,BUTLER UNIVERSITY
001789,CHRISTIAN THEOLOGICAL SEMINARY
001792,DEPAUW UNIVERSITY
001793,EARLHAM COLLEGE
001795,UNIVERSITY OF EVANSVILLE
001797,SUMMIT CHRISTIAN COLLEGE
001798,FRANKLIN COLL OF INDIANA
001799,GOSHEN COLLEGE
001800,GRACE COLLEGE & SEMINARY
001801,HANOVER COLLEGE
001803,HUNTINGTON COLLEGE
001804,UNIV OF INDIANAPOLIS
001805,INDIANA INST OF TECH
001807,IN ST UNIV AT TERRE HAUTE
001808,UNIVERSITY OF SOUTHERN IN
001809,INDIANA UNIV BLOOMINGTON
001811,INDIANA UNIVERSITY EAST
001812,IN U-FORT WAYNE
001813,IN U-PURDUE-INDPLS
001814,IN U-KOKOMO
001815,IN UNIVERSITY NORTHWEST
001816,IN UNIV AT SOUTH BEND
001817,INDIANA UNIVERSITY SE
001820,MANCHESTER COLL
001821,MARIAN COLL-INDPLS
001822,INDIANA WESLEYAN UNIV
001823,MENNONITE BIBLICAL SEMINARY
001824,OAKLAND CITY UNIVERSITY
001825,PURDUE U-MAIN CAMPUS
001826,PURDUE U-NORTH CENTRAL
001827,PURDUE UNIVERSITY CALUMET
001828,IN UN-PURDUE UN FT.WAYNE
001830,ROSE-HULMAN INST OF TECH
001832,UNIVERSITY SAINT FRANCIS
001833,SAINT JOSEPH’S COLLEGE
001834,CALUMET COLL ST JOSEPH
001835,ST MARY-OF-THE WOODS COLL
001836,SAINT MARY’S COLLEGE
001837,SAINT MEINRAD COLLEGE
001838,TAYLOR UNIVERSITY
001839,TRI-STATE UNIVERSITY
001840,U OF NOTRE DAME
001842,VALPARAISO UNIVERSITY
001843,VINCENNES UNIVERSITY
001844,WABASH COLLEGE
001846,BRIAR CLIFF UNIVERSITY
001847,BUENA VISTA UNIVERSITY
001848,SOUTHEASTERN COMM COLLEGE
001850,CENTRAL COLLEGE
001852,CLARKE COLLEGE
001853,CLINTON COMMUNITY COLLEGE
001854,COE COLLEGE
001856,CORNELL COLLEGE
001857,SOUTHWESTERN COMMUNITY CO
001859,DORDT COLLEGE
001860,DRAKE UNIVERSITY
001862,ELLSWORTH COMMUNITY COLL
001864,IOWA LAKES COMMUNITY COLL
001865,IOWA CENTRAL COMM COLL
001866,GRACELAND UNIVERSITY
001867,GRAND VIEW COLLEGE
001868,GRINNELL COLLEGE
001869,IOWA STATE UNIVERSITY
001871,IOWA WESLEYAN COLLEGE
001873,LORAS COLLEGE
001874,LUTHER COLLEGE
001875,MARSHALLTOWN COMM COLLEGE
001876,MARYCREST COLLEGE
001877,NORTH IOWA AREA COMM COLL
001879,MORNINGSIDE COLLEGE
001880,MOUNT MERCY COLLEGE
001881,MOUNT ST CLARE COLLEGE
001882,MUSCATINE COMMUNITY COLL
001883,NORTHWESTERN COLLEGE
001885,SCOTT COMMUNITY COLLEGE
001887,SIMPSON COLLEGE
001889,ST. AMBROSE UNIVERSITY
001890,UNIVERSITY NORTHERN IOWA
001891,UNIVERSITY OF DUBUQUE
001892,UNIVERSITY OF IOWA
001893,UPPER IOWA UNIVERSITY
001894,VENNARD COLLEGE
001895,WALDORF COLLEGE
001896,WARTBURG COLLEGE
001897,WARTBURG THEOLOGICAL SEMINARY
001899,WESTMAR UNIVERSITY
001900,WILLIAM PENN COLLEGE
001901,ALLEN COUNTY COMM COLLEGE
001902,COWLEY COUNTY COMM COLL
001903,BAKER UNIVERSITY
001904,BETHANY COLLEGE
001905,BETHEL COLLEGE
001906,BUTLER COUNTY COMM COLL
001907,CENTRAL BAPTIST THEOLOGICAL SEMINARY
001908,CENTRAL CHRISTIAN COLL
001909,CLOUD COUNTY COMM COLLEGE
001910,COFFEYVILLE COMMUNITY COL
001911,COLBY COMMUNITY COLLEGE
001913,DODGE CITY COMMUNITY COLL
001914,DONNELLY COLLEGE
001915,FORT HAYS STATE UNIV
001916,FORT SCOTT COMM COLLEGE
001917,BARCLAY COLLEGE
001918,FRIENDS UNIVERSITY
001919,GARDEN CITY COMM COLLEGE
001920,HESSTON COLLEGE
001921,HIGHLAND COMMUNITY COLL
001923,HUTCHINSON COMM COLL VOC
001924,INDEPENDENCE COMM COLLEGE
001925,KS CITY KS COMMUNITY COLL
001926,PITTSBURG STATE UNIV
001927,EMPORIA STATE UNIVERSITY
001928,KANSAS STATE UNIVERSITY
001929,KANSAS WESLEYAN UNIV
001930,LABETTE COMMUNITY COLLEGE
